what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1419492448650
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419492457347
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419492461894
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1419492464214
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1419492466308
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419492469012
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419492477268
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1419492478642
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1419492479914
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1419492488574
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1419492493117
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1419492495083
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1419492496137
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1419492504681
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419492509148
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419492513478
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1419492516282
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1419492517436
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1419492522794
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419492525996
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419492531886
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1419492533626
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1419492534688
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419492540316
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419492544496
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1419492546089
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1419492547097
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419492552444
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419492556304
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1419492557545
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1419492558434
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419492562059
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419492566455
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1419492567507
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419492569066
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419492601540
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1419492602456
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1419492603931
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419492611123
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419492616069
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1419492617598
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1419492621658
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419492626579
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419492630781
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1419492632775
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1419492634190
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1419492643742
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1419492658743
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1419492658959
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1419492659174
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1419492659406
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1419492662258
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419492667971
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419492673356
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1419492675712
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1419492678655
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419492686013
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419492691331
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1419492695095
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1419492695943
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419492705067
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419492710061
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1419492711264
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1419492712330
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419492720962
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419492726020
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1419492726849
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1419492728240
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1419492743921
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1419492762522
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419492772354
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419492781053
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1419492782831
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1419492783915
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1419492796191
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1419492797103
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419492800154
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419492802523
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1419492817393
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1419492817803
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1419492837229
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1419492838440
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1419492844331
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1419492847271
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1419492847310
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1419492849389
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1419492855371
